obsession;Sucht
obsessive;suchtartig
(eating) disorder;(Ess-) Störung
to aspire to;streben, anstreben
ambition;Ziel, Ambition, Ehrgeiz
in sharp contrast to;im starken Gegensatz zu
muscle dysmorphia, bigorexia;Muskelsucht
informally;informell, inoffiziell
abdominal muscles;Bauchmuskeln
biceps;Bizeps
thighs;Schenkel, Oberschenkel (PL)
draining board;Abtropfbrett, Abtropffläche, Abtropfplatte
to soar;(schell) aufsteigen, hochschnellen
anorexia;Magersucht
puny;mikrig
psychiatrist;Psychiater
to neglect;vernachlässigen
porridge;Brei
a pint of sth.;ein halber Liter von etwas (BE)
to gulp;verschlingen
physique;Körperbau
tracksuit;Trainingsanzug
calf, calves;Wade, Waden
to account for (half of sth.);(für die hälfte von etwas) verantwortlich sein
condition;Zustand, Krankheit
