to embarrass;blamieren
to deal with (fears);umgehen mit, fertig werden mit (Ängsten)
proper;richtig, ordentlich
handy;praktisch
appointment with the doctor;Arztbesuch
the doctor's surgery;Ordination, Praxis (des Arztes)
inflamation;Entzündung
to rest;sich ausruhen
x-ray;Röntgen
pain;Schmerz
injection;Injektion, Spritze
tablet;Tablette
examination;Untersuchung
ultrasound;Ultraschall
knee;Knie
ankle;Fußgelenk
stomach;Magen
injured;verletzt
sore;Weh, Schmerz(en)
throat;kehle
soar throat;Halsschmerzen
a cold;eine Verkühlung
headache;Kopfschmerzen
flu;Grippe
to get (plenty of) rest;sich (ordentlich) ausruhen
to take days off;sich einige Tage freinehmen
fluid intake;Flüssigkeitsaufnahme, Trinken
to prescribe (prescription);verschreiben (Rezept)
prescription;Rezept [für Apotheke]
painkiller;Schmerzmittel
anti-inflammatories;Entzündungshemmer
physiotherapist;Physiotherapeut
