to emit;abstrahlen, aussenden
electromagnetic field;elektromagnetisches Feld
encrypted;verschlüsselt
to introduce yourself;sich vorstellen (zu einer anderen Person)
coded data;kodierte/verschlüsselte Daten
tin foil;(Haushalts) Alufolie
essential;notwendig, essenziell
lining;Auskleiden
to mean to do something;etwas beabsichtigen
till;(Bezahl-) Kasse
self-service till;Selbstbedienungskasse
to prevent;verhindern
accidental;versehentlich
little/no cause for ...;wenig/kein Grund für ...
thief;Dieb
thieves;Diebe
to rely on;abhängen von, sich verlassen auf
account;Konto
to recognize;erkennen
to confirm;bestätigen
to reject;ablehnen, verweigern
