"gorgeous (syn. ""attractive"")";wunderschön
"hideous (syn. ""ugly"")";abscheulich
"filthy (syn. ""dirty"")";dreckig
spotless;makellos, blitze blank
boiling;sehr heiß, kochend heiß
freezing;eiskalt, eisig
astounded;verblüfft, erstaunt
"hilarious (syn. ""funny"")";urkomisch, witzig
"furious (syn. ""angry"")";(extrem) wütend
"exhausted (syn. ""tired"")";erschöpft
ancient;alt, uralt
starving;hungernd, sehr hungrig
huge, vast, enormous, gigantic, massive, giant, monstrous, colossal;sehr/extrem groß [mehrere Synonyme]
microscopic, tiny, minuscule, miniature, puny, minute;sehr/extrem klein [mehrere Synonyme]
awesome, supreme, superb, amazing, fantastic, fabulous, perfect, brilliant, magnificent;sehr/extrem gut [mehrere Synonyme]
terrible, abysmal, awful, horrible, dreadful, atrocious, appalling;sehr/extrem schlecht [mehrere Synonyme]
