schola f.;Schule
discipulus m.;Schüler
esse (sum);sein (ich bin)
discipula f.;Schülerin
et;und, auch
amare (amo);lieben (ich liebe)
intrare (intro);eintreten (ich trete ein)
clamare (clamo);rufen, schreien (ich rufe)
puella f.;Mädchen
salve! salvete!;sei / seid gegrüßt !
magistra f.;Lehrerin
gaudere (gaudeo);sich freuen (ich freue mich)
videre (video);sehen (ich sehe)
amica f.;Freundin
hic;hier
novus, -a, um;neu, jung
non;nicht
sed;aber, sondern (nach Verneinung)
spectare (specto);betrachten, schauen (ich schaue)
solum;nur
monere (moneo);(er)mahnen, warnen (ich mahne)
errare (erro);(sich) irren
humanus, -a, -um;menschlich
tacere (taceo);schweigen (ich schweige)
bonus, -a, -um;gut
ibi;dort
ridere (rideo);(aus)lachen (ich lache)
filia f.;Tochter
satis;genug
iterum;wieder, ein zweites Mal
vale! valete!;lebe / lebt wohl !
respondere (respondeo);antworten (ich antworte)
