-que (nachgestellt);und
ultimus, -a, -um;der letzte, äußerste, als letzter
tuus, -a, -um;dein
amatus, -a, -um;geliebt
delere (deleo);auslöschen, zerstören
scribere (scribo);schreiben
puer, pueri m.;Bub, Knabe, junger Mann
postremo;zuletzt schleißlich
claudere (claudeo);schließen, einschließen
placere (placeo);gefallen
audere (audeo);wagen
dare, do;geben
com +Abl;mit
in +Akk/WOHIN?;in, nach, gegen
lente Adv;langsam
sub +Abl WO?/ Akk WOHIN?;unter
umbra, -ae f.;Schatten
sedere (sedeo);sitzen
monstrare (monstro);zeigen
in +Abl/WO?;in, auf, bei
quattour;vier
equus, -i m.;Pferd
hodie;heute
favere (faveo +Dat);begünstigen, bevorzugen
frustra;vergeblich
dicere (dico);sagen, nennen
servus , -i m.;Sklave, Diener
donare (dono);schenken, widmen, opfern
iavere (iacio);werfen
meus, -a, -um;mein
