aliquando;irgendwann, einmal
manus, -us f.;Hand, Schar, Menge, Rechtsgewalt
dolere, doleo, dolui;Schmerz fühlen, leiden
vir, viri m.;Mann
mortuus, -a, -um;tot, gestorben
per (+ Akk);durch, (beim Schwur:) bei
si;wenn, falls
perdere, perdo, perdidi, perditum;verlieren, zugrunde richten
licet, licuit, licitum est;es ist erlaubt
quasi;gleichsam (wie)
facere, facio, feci, factum;machen, tun, machen zu
servare, servo, servavi, servatum;(auf)bewahren, retten
dividere, divido, -visi, -visum;teilen
intra (+ Akk);innerhalb
domus, -us f.;Haus, Familie
res, rei f.;Sache
res publica;Staat
casus, -us m.;Fall, Untergang, Unglücksfall, Zufall
putare, puto, putavi, putatum;glauben, halten für
nescire, nescio, nescivi, nescitum;nicht wissen
nonulli, -ae, -a;einige, manche
sentire, sentio, sensi, sensum;wahrnehmen, fühlen
resistere, resisto, restiti;Wiederstand leisten
necesse est;es ist notwendig
enim (nachgestellt);denn, nämlich
tertius, -a, -um;der dritte, als dritter
valere, valeo, valui;stark sein, gesund sein
prae (+ Abl);vor
