legatus, -i m.;Gesandter, Unterhändler
autem (nachgestellt);aber
quidam, quaedam, quoddam;ein (gewisser), Pl.: manche, einige
iniuria, -ae f.;Unrecht
bellum, -i n.;Krieg
contra (+ Akk);gegen, dagegen
auxilium, -i n.;Hilfe, Pl.: Hilfstruppen
rex, regis m.;König
atque (= ac);und
maiores, -um m. (Pl);Vorfahren
suus, -a, -um;sein, ihr
potentia, -ae f.;Macht
Apollo, -inis m-;Apoll(o)
victor, -oris m.;Sieger, siegreich
dux, dicus m./f.;Feldherr, Anhührer/in
mox;bald
exercitus, -us m.;Heer
gerere, gero, gessi, gestum;tragen, (aus)führen
consul, -is m.;Konsul
miles, militis m.;Soldat
castra, -orum n.;Lager
timere, timeo, -ui;(sich) fürchten
fuga, -ae f.;Flucht
honor, -oris m.;Ehre, Ehrenamt
tollere, tollo. sustuli, sublatum;aufheben
dominus, -i m.;Herr
totus, -a, -um, Gen. -ius Dat. -i;ganz
pro (+ Abl);für
nomen, -inis n.;Name
