liberi m.;Kinder („die Freien“)
liber, -era, -erum;frei
se (WEN?);sich
occultare (occulto);verbergen, verstecken (ich verberge)
iam;schon, (nach Verneinung) mehr
rogare (rogo);(nach etwas) fragen, bitten
-ne;(unübersetzt, zeigt Frage an)
appropinquare (appropinquo);näherkommen (ich komme näher)
cur?;warum?
quod;weil, dass
quoque (nachgestellt);auch
primus, -a, -um;der / die / das erste, als erste(r/s)
ut;wie
cogitare (cogito);denken (ich denke)
diu;lange
expectare (expecto);warten, erwarten
tum;da, damals, dann
apparere (appareo);sich zeigen, erscheinen (ich erscheine)
dubitare (dubito);zögern, zweifeln (ich zweifle)
ubi;wo
iratus, -a, -um;zornig, erzürnt
ego;ich
neque / nec;und / aber / auch nicht
fortuna f.;Glück, Schicksalsgöttin
properare (propero);eilen, sich beeilen
properare (+ infinitiv);sich beeilen zu (+ infinitiv)
certare (certo);streiten, kämpfen
amicus m.;Freund
