Nomen est omen.;Der Name ist ein Vorzeichen.
venire (venio);kommen
deinde;dann
audire (audio);hören
paulo post;wenig später
primum;zuerst
Graecus, -a, -um;griechisch, pl. die Griechen
Latinus, -a, -um;lateinisch
recitare (recito);vortragen
Fortes Fortuna adiuvat!;Den Mutigen hilft das Glück!
adiuvare (adiuvo) +Akk;helfen, unterstützen
saepe;oft
magister m.;Lehrer
verbum n.;Wort
tamen;dennoch
ad +Akk;an, zu, bei
officium n.;Pflicht, Pflichtgefühl
vocare (voco);nennen, rufen
patria f.;Vaterland
magnus, -a, -um;groß
rosa f.;Rose
pulcher, -chra, -chrum;schön
subito;plötzlich
causa f.;Grund
nonnumquam;manchmal
nam;denn, nämlich
secum;mit sich, bei sich
quam?;Wie?
