de +Abl;über, von (... herab)
inter +Akk;zwischen, unter
inter se;untereinander, miteinander
oppidum n.;Stadt
Roma f.;Rom
regnum n.;Königreich, Königsherrschaft
petere (peto);anstreben, aufsuchen
petere + a/ab +Abl;bitten
a / ab + Abl;von, aus
simul;zugeilch
agere (ago);(ver-)handeln, durchführen, treiben
sekundus, -a, -um;günstig, folgend, zweiter
quaerere (quaero);suchen
quaerere e/ex +Abl;fragen
altus, -a, -um;hoch, tief (je nach Standpunkt)
vincere (vonco);siegen, besiegen
posse, -um;können
populus m.;Volk
regnare (regno);regieren, herrschen
sex;sechs
e/ex +Abl;von ... aus
caelum, -i n.;Himmel
duodecim;zwölf
locus m.;Platz, Rang, Ort
capere (capio);nehmen, ergreifen, fassen
divinus, -a, -um;göttlich
deus m. (1./ 5. F. Pl. di);Gott
dea f.;Göttin
vita f.;Leben
vitam agere;leben, das Leben führen
