cena, -ae f.;Essen, Gastmahl
publicus, -a, -um;öffentlich
esse, sum, fui;sein
narrare, -o, -avi, -atum;erzählen
invitare, -o, -avi, -atum;einladen
numquam;nie, niemals
semper;immer
favere, -eo, -favi, -fautum +Dat;begünstugen, bevorzugen
relinquere, -o, -liqui, -lictum;verlassen, zurücklassen
templum, -i n.;Tempel
sedere, -eo, sedi, sessum;sitzen
scire, -io, scivi, scitum;wissen
multi, -ae, -a;viele
quaerere, -o, quaesivi, quaesitum;suchen, fragen
licet, licuit, licitum est;es ist erlaubt
libenter Abv;gern
venire, -io, veni, ventum;kommen
etiam;auch, sogar
videre, -eo, vidi, visum;sehen
Bacchus, -i m.;Bacchus (Weingott)
vinum, -i n.;Wein
poeta, -ae m.;Dichter
ridere, -eo, risi, risum;lachen
dicere, -o, dixi, dictum;sagen, nennen
neque (nec) ... neque (nec);weder ... noch
consilium, -i n.;Plan, Beschluss, Ratschlag
capere, -io, cepi, captum;nehmen, ergreifen, fassen
posse, possum, potui;konnen
sine +Abl;ohne
petere, -o, petivi, petitum;
