Unit 1
common;verbreitet
currenty;derzeitig
population;Bevölkerung
access;Zugang
earn;verdienen
regular;regelmäßig
rule;Regel
topic;Thema
seem;scheinen
in general;im Allgemeinen
generalisation;Verallgemeinerung
minority;Minderheit, Minderzahl
surprisingly;erstaunlicherweise
tend;tendieren
deliver;liefern
roughly;ungefähr
slightly;geringfügig
properly;ordnungsgemäß
public transprot;öffentliche Verkehrsmittel
foreigner;Ausländer/in
review;Rückblick
result;Ergebnis
possession;Besitz
support;unterstützen
aloud;laut
adapt to;an etwas anpassen
bond with;binden
connection;Verbindung
fit in;hineinpassen
join in;mitmachen
(feel) left out;sich ausgeschlossen fühlen
puppy;Welpe
settle in;sich eingewöhnen
take part in;teilnehmen
accurate;genau
agitator;Anstifter/in
attend;teilnehmen
audience;Publikum
huge ;riesig
humorous;humorvoll, witzig
inspire;inspirieren, begeistern
invade;eindringen, einmarschieren
newscaster;Nachrichtensprecher/in
mention;erwähnen
perform;auftreten
performance;Auftritt
raise;aufziehen
rapport;Übereinstimmung
reach;erreichen
representation;Darstellung
stand out;herausstechen
suburban;vorstädtisch
war-torn;vom Krieg erschüttert
emigrate;auswandern
influence;beeinflussen
influence;Einfluss
recently;kürzlich
graph;Diagramm
apart from;abgesehen von
in addition;außerdem, darüber hinaus
refer to;verweisen auf, sprechen von
split;sich aufteilen
furthermore;außerdem
research;recherchieren, erforschen
be due at;fällig sein um
drop;Rückgang
accept;akzeptieren
former;ehemalig
persecute;jemanden verfolgen
refugee;Flüchtling
protagonist;Hauptfigur
speech;Rede
career;Karriere
education;Ausbildung
equality;Gleichheit
experience;Erfahrung
honour;Ehre
importance;Bedeutung, Wichtigkeit
manage;schaffen
trolley;Einkaufswagen
request;Bitte, Anfrage
aim ;Ziel
apologise;sich entschuldigen
certain;bestimmt, gewiss
concerned;besorgt
consider;bedenken
effort;Aufwand
in particular;im Besonderen
increase;steigern
select;auswählen
target;anvisieren, anpeilen
turkey;Truthahn
whether;ob
with regards to;hinsichtlich
curry house;Indisches Restaurant
jump the queue;sich (in einer Schlange) vordrängeln
kickabout;Kicker, Spiel
pop out to the corner shop;kurz zum Laden an der Ecke gehen
queue up;anstehen, Schlange stehen
a semi;Doppelhaus(hälfte)
Time to put the kettle on!;Zeit, Teewasser aufzusetzen!
Union Jack;die britische Flagge
What's on the box?;Was läuft im Fernsehen?
3-pin-plugs;dreipoliger Stecker
get together;sich treffen
