Unit 3
pat;tätscheln
as soon as;so bald wie
blow;wehen
valley;Tal
darkness;Dunkelheit
disappear;verschwinden
flow;fließen
hug;Umarmung, umarmen
soldier;Soldat/in
loyal;ergeben, loyal
reliable;verlässlich
route;Strecke
stream;Bach
description;Beschreibung
bell;Glocke
necessary;erforderlich
fix;reparieren
appear;erscheinen
operate;operieren
previous;vorangegangenen
well-written;gut geschrieben
arrangement;Abmachung
questionnaire;Fragebogen
refuse ;sich weigern
appreciate;wertschätzen
honesty;Ehlichkeit
score;Ergebnis
trusting;gutgläubig
argue;streiten
disappoint;enttäuschen
get away with;ungestraft davonkommen
physical;körperlich
fancy;Lust haben auf
hum ;summen
instead of;anstelle von
ordinary;gewöhnlich
scary;erschreckend
spoil;verderben
step;Stufe
walk up to;auf jemanden / etwas zugehen
qualities;Eigenschaften
introduce;vorstellen
express;ausdrücken
complain;sich beklagen
typical;typisch
awful;schrecklich
dull;langweilig, stumpfsinnig
lively;lebhaft
obviously;offensichtlich
ridiculous;lächerlich
telepathic;telepathisch
disagree;wiedersprechen
consequently;folglich
hardly ever;fast nie
superior;überragend
lap;Schoß
bug;ärgern, nerven
handle;handhaben
valuable;wertvoll
cork;Korken
indefinite;unbestimmt
silly;dämlich
aquaintance;Bekanntschaft
ally;Verbündete/r
close friend;enger Freund
hit it off;sich auf Anhieb gut verstehen
make new friends;neue Freundschaften schließen
mate;Kumpel, Freund
old friends;alte / gute Freunde
That's what friends are for.;Dafür sind Freunde da.
