Unit 10
coconut;Kukusnuss
in spite of;trotz
shocked;schockiert
take away ;wegbringen
shine;scheinen
fur;Fell, Pelz
agree;zustimmen
lie;lügen
giant;riesig
amazement;Erstaunen
shadow;Schatten
hoax;Scherz, Schwindel
reflect;reflektieren
smapel;Probe
set of;Garnitur, Satz
spokeswoman;Sprecherin
deduction;Ableitung
oven;Ofen
fall asleep;einschlafen
take place;stattfinden
tournament;Turnier
arrival;Ankunft
backpacker;Rucksacktourist/in
blessing;Segen
butcher;Metzger/in
crop;Nutzpflanze
diversity;Vielfalt
doubt;Zweifel
educate;erziehen, unterrichten
enrich;bereichern, anreichern
forbidden;verboten
headline;Schlagzeile
industry;Industrie
initially;zunächst, anfänglich
integral;wesentlich
nightmare;Albtraum
numerous;zahlreich
poacher;Wilderer/Wilderin
prejudice;Vorurteil
previously;vorher
sandy;sandig
demand;Forderung
landscape;Landschaft
luxurious;luxuriös
pollute;verschmutzen
resort;Ferienort
run low;zur Neige gehen
remaining;restlich
criticism;Kritik
draw into;hineinziehen
end up;schließlich etwas tun
ending;Ende
justice;Gerechtigkeit
powerful;mächtig
remind;erinnern
storyline;Handlung
strengh;Stärke
tense;angespannt
accompany;begleiten
fully;völlig
anniversary;Jahrestag
dedicate;etwas widmen
conspire;aushecken, sich verschwören
speed up;beschleunigen, sich beeilen
cause;verursachen
drawback;Nachteil
headache;Kopfschmerzen
overcome;überwinden
potential;möglich, potenziell
problem child;Problemkind
a problem halved;halbes Leid
run into problems;auf Probleme stoßen
