Wiki Lateinische Phrasen;https://de.wikipedia.org/wiki/Liste_lateinischer_Phrasen
Lateinische Sprüche und Zitate;https://lateinisch.net/zitate/
Lateinische Zitate;https://die-lateinseite.de/beruehmte-lateinische-zitate-mit-deutscher-uebersetzung/
Age, quod agis;Tue was Du tust (aber richtig)
E duobus malis minimum eligendum est;Von zwei Übeln ist das kleinere zu wählen
Ex malis eligere minima;Von den Übeln das kleinste wählen
Ne discere cessa;Hör nicht auf zu lernen
Perfer et obdura!;Halte durch und sei hart!
Gaudeamus igitur;Freuen wir uns also
Perfer et obdura!;Glücklich, ach, überglücklich!
Ipse fecit;Er hat es selbst gemacht
Ad lucem;Zum Licht (Universität Oxford)
Audere est facere.;Es zu wagen ist, es zu tun.
Concedo nulli;Ich weiche keinem
Amantes amentes;Liebende sind von Sinnen
Cave canem!;Vorsicht vor dem Hund!
Etiam tacere est respondere.;Schweigen ist auch eine Antwort
Semper respice finem;Bedenke immer das Ende
Quod erat demonstrandum;Was zu beweisen war
Cogito ergo sum;Ich denke, also bin ich
Carpe diem;Nutze den Tag
Tempus fugit;Die Zeit flieht
Veni, vidi, vici;Ich kam, sah, und siegte
Memento mori;Gedenke des Todes (dass Du sterblich bist)
Homo homini lupus;Der Mensch ist des Menschen Wolf
Alea iacta est;Der Würfel ist gefallen
Nomen est omen;Der Name ist bezeichnend (ein Zeichen)
Omnia vincit amor;Die Liebe besiegt alles
In dubio pro reo;Im Zweifel für die Sache
Habemus Papam;Wir haben einen Papst!
In vino veritas;Im Wein steckt Wahrheit
Requiescat in pace (R.I.P.);Ruhe in Frieden
Ultima Ratio;Der letzte Ratschluß
Faber est suae quisque fortunae;Jeder ist seines Glückes Schmied
Abyssus abyssum invocat;Ein Fehler zieht einen Fehler nach sich
Contra vim mortis non est medicamen in hortis;Gegen den Tod ist kein Kraut gewachsen
Vivere est militare;Zu leben heißt zu kämpfen
Nihil fit sine causa;Nichts geschieht ohne Grund
Ver ante portas;Der Frühling steht vor der Tür
