expectation;Erwartung
to pamper (to be pampered);verwöhnen (verwöhnt werden)
staff;Angestellte, Belegschaft
scenery;Landschaft, Umgebung
furnishing;Einrichtung
concirn;Bedenken
destination;(Reise-) Ziel
long-haul-flight;Langstreckenflug
locals;Einheimische
backpacker;Rucksacktourist
hstel;Unterkunft, Herberge
"customs (a custom) ";Bräuche (ein Brauch)
luggage;Gepäck
rucksack;Rucksack
to devote sth. to sth.;etwas etwas opfern, widmen
skills;Fähigkeiten
(basic) accomodation;(einfache) Unterkunft
dormatory;Schlafsaal
chores;Hausarbeit
disappointing;enttäuschend
participant;Teilnehmer
booking fees;Buchungsgebühren
suitcase;Koffer
refundable;rückerstattbar
