loyal;Treu, Loyal
open-minded;offen
sensible;vernünftig
easy-going;gechillt, lässig, unbeschwert
argumentative;streitsüchtig, streitlustig
bossy;rechthaberisch
eccentric;außergewöhnlich, besonders, anders
sensitive;empfindlich, einfühlsam, verständnissvoll
narrow-minded;eguistisch
to argue;streiten
to disagree;nicht zustimmen
point of view;Ansicht, Meinung
to boast;angeben (angeberisch)
modest;bescheiden
modesty;Bescheidenheit
to speak your mind;seine Meinung/Gedanken aussprechen
to offend;kränken, beleidigen
to gain/put on weight;Gewicht zunehmen
impolite, rude;unhöflich
to reckon;glauben, vermuten
