omnis, -e;jeder, ganz, Pl.: alle
tempus, -oris n.;Zeit
is, ea, id;dieser, er
nullus, -a, -um Gen. -ius, Dat. -i;kein
idem, eadem, idem;der-, die-, dasselbe
nobilis, -e;adelig, vornehm
obses, obsidis m.;Geisel
accipere, -io, -cepi, -ceptum;empfangen, nehmen
frater, -tris m.;Bruder
igens, -ntis ;riesig (groß)
gaudium, -i n.;Freude
post (+Akk);nach, hinter, später (Adverb)
nuntius, -i m.;Botschaft, Nachricht, Bote
parentes, -um m. (parens, -ntis) ;Eltern (Sg: Vater oder Mutter)
reddere, -o, reddidi, -ditum;zurückgeben
quare;warum, daher (Satzanfang)
fere;beinahe
animus, -i m.;Sinn, Mut, Geist, Herz
deddere, -o, deddidi, -ditum;übergeben, widmen
se dedere;sich ergeben
interae;inzwischen
copia, -ae f.;Menge, Vorrat Pl.: Truppen
civitas, -atis f.;Bürgerschaft, Stadt
proelium, -i n.;Schlacht
amicita, -ae f.;Freundschaft(Bündnis)
gloria, -ae f.;Ruhm
celer, -eris, -ere;schnell
aut;oder
parere, -eo, -ui;gehorchen
