hospitium, -i n.;Gastfreundschaft
Iuppiter, Iovis m.;Jupiter (= Zeus, Himmelvater)
senex, senis m./f.;alter Mann/alte Frau, alt (Adj.)
coniunx, coniugis m./f.;Gatte / Gattin, Pl: Eheleute
similis, e (+ Gen bzw. Dat);ähnlich
aetas, -atis f.;Alter, Zeitalter
cibus, -i m.;Speise, Nahrung
delectare, -o, -avi, -atum;erfreuen
probare, -o, -avi, -atum;prüfen
vos (siehe Grammatikteil);ihr
optimus, -a, -um;der beste
nos (siehe Grammatikteil);wir
dum (+ Ind. Präsens);während
parvus, -a, -um ;klein, jung
ceteri, -ae, -a;die übrigen
aqua, -ae f.;Wasser, Pl: Wassermassen
iustus, a, um;gerecht
donum, -i n.;Geschenk
dignus, -a, -um (+ Abl);würdig
optare, -o, -avi, -atum;wünschen
sacerdos, -otis m./f.;Priester/in
custos, odis m./f.;Hüter/in, Wächter/in
vester, -tra, -trum;euer
iudicium, -i n.;Urteil, Entscheidung
noster, -tra, -trum;unser
certus, -a, -um;sicher, zuverlässig
mirus, -a, -um;erstaunlich, wunderbar
arbor, -oris f.;Baum
ante (+ Akk);vor
