Unit 2
deal with;erledigen, bewältigen
deaf;taub
despite;trotz
difficulty;Schwierigkeit
emergency;Notfall
provide;bereitstellen
sign language;Zeichensprache
silence;Stille
woodwork;Holzarbeit
interrupt;unterbrechen
sence;Sinn
seperate;getrennt
period;Zeitraum
fee;Gebühr
impress;beeindrucken
invent;erfinden
cottage;Häuschen
imagine;sich vorstellen
avoid;vermeiden
lean forward;sich vorbeugen
smile;Lächeln
annoy;verärgern
attract;anziehen
go up;ansteigen
greeting;Gruß
insecure;unsicher
instantly;sofort
whath on earth;was um Himmels Willen
secret;Geheimnis
prayer;Gebet
truth;Wahrheit
freezing;eiskalt
keen;begeistert
rather;ziehmlich
according to ;laut
account;Bericht
appropriate;angemessen
arrange;vereinbaren
boundaries;Grenzen
brodcast;Übertragung
compare;vergleichen
curious;seltsam
demand;verlangen
faithfully;treu, getreu
(film) buff;(Kino)-fan
formation;Form, Gebilde
mystified;verwirrt, verblüfft
obsessd;besessen
obsession;Besessenheit
pleasure;Vergnügen
publish;veröffentlichen
represented;dargestellt
selection;Auswahl
set up;einrichten
treatment;Behandlung
reply;Antwort
require;benötigen
possibility;Möglichkeit
alive;lebendig
decision;Entscheidung
regarding;betreffend, bezüglich
relationship;Beziehung
stuff;Zeug
suitable;passend
with reference to ;betreffend
similar;ähnlich
approach;Herangehensweise
based upon;basierend auf
inarguably;unbestreitbar
involve;einbeziehen
reportedly;angeblich
sensitive;sensibel
setting;Kulisse
ape;Affe
comfort;trösten
create;schaffen
differ;sich unterscheiden
protect;beschützen
translate;übersetzen
value;Wert
speak one's mind;seine Meinung frei äußern
speak to soon;sich zu früh äußern
speak up;lauter sprechen
speak a word;ein Wort (einer Sprache) sprechen
talk about;das nenne ich ...
talk back to;frech antworten
talk nonsence;Unsinn reden
talk shop;übers Geschäftliche reden, fachsimpeln
