Unit 8
bolt;Blitz
come true;wahr werden
cruel;grausam
detest;verabscheuen
Eastern-;Ost-
handsome;gutaussehend, attrakiv
lawyer;Anwalt, Anwältin
lightning;Blitz
murderer;Mörder/in
nowhere;nirgends
prisoner;Gefangene/r
sadness;Traurigkeit
thief;Dieb/in
fiancee;Verlobte
flame;Flamme
realise;erkennen 
roar;Gebrüll
step;treten
wave;Welle
afford;sich leisten
amazed;erstaunt
criminal;Verbrecher/in
enemy;Feind/in
familiar;vertraut
pipe;Pfeife
clear-cut;deutlich, eindeutig
marry;heiraten
murder;Mord
threaten;bedrohen
figure out;herausfinden
kindness;Freundlichkeit
probable;wahrscheinlich
detect;auspüren, feststellen
for instance;beispielsweise
popularity;Beliebtheit
laziness;Faulheit
preference;Vorliebe
preperation;Vorbereitung
rise;aufgehen
secretly;heimlich
desperate;verzweifelt
display;zur Schau stellen
generally;allgemein
poetry;Dichtung
private property;Privatbesitz
sexes;Geschlechter
signature;Unterschrift
spread;Verbreitung, Ausdehnung
stylish;mosisch
tagging;Markierung (auf einer Wand)
vandalism;Vandalismus
hang out;herumhängen
hook up with;anschließen, jemanden verkuppeln
disadvantage;Nachteil
exact;genau
go wrong;fehlschlagen
perception;Auffassung, Wahrnehmung
scared;verängstigt
charged;aufgeladen
cage;Käfig
act;sich benehmen
advertise;etwas bewerben
amused;amüsierd
blind;blind
creative;kreativ
expect ;erwarten
invite;einladen
mad;verrückt
treat;behandeln
