Unit 9
glue;kleben
delete;löschen
honest;ehrlich
certainty;Gewissheit
guilty;schuldig
homeless;obdachlos
shoplifting;Ladendiebstahl
burglary;Einbruch
joyriding;gefährliche Fahrt mit einem gestohlenen Fahrzeug
pick-pocketing;Taschendiebstahl
break into;einbrechen
get caught up in;in etwas geraten
chase;Jagd
law-breaker;Gesetzbrecher/in
mess up;vermasseln
be put on probation;auf Bewährung sein
community service;Gemeinschaftsdienst
society;Gesellschaft
offender;Straftäter/in
report;berichten 
solution;Lösung
burgle;einbrechen
blame;Schuld
breath;Atem
burglar;Einbrecher/in
clergyman;Geistlicher
naughty;ungezogen
parrot;Papagei
priest;Priester/in
relief;Erleichterung
reply;antworten
scream;schreien
expectation;Erwartung
rush;hetzen
drop;Tropfen
edge;Kante, Rand
jump up;aufspringen, hoch springen
pure;rein
weigh;wiegen
yard;Yard (Maßeinheit: ca 91.5 cm)
dig;graben
jail;Gefängnis
shocking;schockierend
take up;etwas aufnehmen
heart attack;Herzanfall
benefit;Vorteil, Nutzen
lay;legen
via;über
assassination;Ermordung
blackmail;Erpressung
kidnapping;Entführung
mugging;Überfall auf der Staße
smuggling;Schmuggeln
theaft;Diebstahl
